Site;Island;Bioregion;LAT;LONG;Type;Fishing;Zoning ;;;
Al Arco (Cleaning Station);Darwin;Lejano Norte;N1° 40.320' ;W91° 59.361';Turism;Closed;Conservación y uso no extractivo (2.2);;Comparación y Protección (2.1);5
Arrecife Antiguo;Darwin;Lejano Norte;N1° 40.489';W91° 59.544';Turism;Closed;Conservación y uso no extractivo (2.2);;Conservación y uso no extractivo (2.2);27
Bahía Gardner norte;Española;Centro-sur;S1° 20.658'; W89° 39.924';Turism;Closed;Conservación y uso no extractivo (2.2);;Conservación y uso extractivo (2.3);41
Bahia Urvina;Isabela;Oeste fria;S0° 26.037'; W91° 13.794';Fishing;Open;Conservación y uso extractivo (2.3);;Manejo especial (2.4);6
Bajo Estefania;San Cristobal;Centro-sur;S0° 40.420'; W89° 15.938';Fishing;Open;Conservación y uso extractivo (2.3);;;79
Banana;Wolf;Lejano Norte;N1° 23.894'; W91° 49.291';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Bartolome;Santiago;Centro sur;S0° 16.772'; W90° 32.545';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Cabo Douglas;Fernandina;Oeste fria;S0° 17.977'; W91° 39.351';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Cabo Marshall;Isabela;Centro-sur;S0° 00.995'; W91° 12.274';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Caleta Derek;Isabela;Oeste fria;S0° 59.282'; W91° 26.923';Fishing;Open;Conservación y uso extractivo (2.3);;;
Caleta Iguana;Isabela;Oeste fria;S0° 59.282'; W91° 26.923';Fishing;Open;Conservación y uso extractivo (2.3);;;
Caleta Webb;Isabela;Oeste fria;S0° 47.073'; W91° 25.951';Fishing;Open;Conservación y uso extractivo (2.3);;;
Cerro Colorado;Isabela;Centro-sur;S0° 14.092'; W91° 09.566';Fishing;Open;Conservación y uso extractivo (2.3);;;
Cerro Dragon;Santa Cruz;Centro-sur;S0° 31.910'; W90° 31.400';Conservation;Closed;Comparación y protección (2.1);;;
Cuatro Hermanos;Isabela;Centro-sur;S0° 50.903'; W90° 44.963';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Daphne menor;Santa Cruz;Centro-sur;S0° 23.630'; W90° 21.069';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Derrumbe;Wolf;Lejano Norte;N1° 22.464'; W91° 48.938';Fishing;Open;Conservación y uso extractivo (2.3);;;
El Radar;Isabela;Oeste fria;S0° 55.822'; W91° 30.361';Special Use;Closed;Manejo especial (2.4);;;
Enderby;Floreana;Centro-sur;S1° 13.863'; W90° 21.641';Special Use;Closed;Manejo especial (2.4);;;
Fernandina Norte;Fernandina;Oeste fria;S0° 17.089'; W91° 32.216';Fishing;Open;Conservación y uso extractivo (2.3);;;
Fernandina Punta Espinoza;Fernandina;Oeste fria;S0° 16.413'; W91° 25.886';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Fernandina Punta Mangle;Fernandina;Oeste fria;S0° 26.164'; W91° 23.243';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Genovesa Cuerno;Genovesa;Norte;N0° 17.937'; W89° 57.004';Conservation;Closed;Comparación y protección (2.1);;;
Genovesa Norte;Genovesa;Norte;N0° 20.713'; W89° 56.785';Fishing;Open;Conservación y uso extractivo (2.3);;;
Isabela Alcedo;Isabela;Oeste fria;S0° 20.755'; W91° 02.675';Fishing;Open;Conservación y uso extractivo (2.3);;;
Isabela Este 3;Isabela;Centro-sur;S0° 07.565'; W91° 11.252';Fishing;Open;Conservación y uso extractivo (2.3);;;
Isabela Este 5;Isabela;Centro-sur;N0° 04.058'; W91° 17.186';Fishing;Open;Conservación y uso extractivo (2.3);;;
Isabela Este 6;Isabela;Centro-sur;N0° 08.109'; W91° 18.765';Fishing;Open;Conservación y uso extractivo (2.3);;;
Isabela Este 7;Isabela;Centro-sur;S0° 44.866'; W90° 47.265';Fishing;Open;Conservación y uso extractivo (2.3);;;
Isabela Este 8;Isabela;Centro-sur;S0° 38.778'; W90° 51.881';Fishing;Open;Conservación y uso extractivo (2.3);;;
Isabela Isla Tortuga;Isabela;Oeste fria;S1° 00.442'; W90° 52.560';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Isabela Sur ;Isabela;Oeste fria;S1° 02.469'; W91° 12.934';Fishing;Open;Conservación y uso extractivo (2.3);;;
Isla Lobos;San Cristobal;Centro-sur;S0° 51.405'; W89° 34.333';Special Use;Closed;Manejo especial (2.4);;;
Islote Caldwell;Floreana;Centro-sur;S1° 18.672'; W90° 20.361';Special Use;Closed;Manejo especial (2.4);;;
Islote Cowley;Isabela;Centro-sur;S0° 23.303'; W90° 57.653';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Islote Gardner;Española;Centro-sur;S1° 20.570'; W89° 38.226';Turism;Closed;Conservación y uso no extractivo (2.2);;;
La Botella;Floreana;Centro-sur;S1° 21.523'; W90° 26.739';Fishing;Open;Conservación y uso extractivo (2.3);;;
La Botellita;Floreana;Centro-sur;S1° 17.423'; W90° 30.055';Fishing;Open;Conservación y uso extractivo (2.3);;;
Las Palmas;Santa Cruz;Centro sur;S0° 40.975'; W90° 32.610';Turism;Closed;Conservación y uso no extractivo (2.2);;;
León Dormido;San Cristobal;Centro-sur;S0° 46.656'; W89° 31.213';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Los Cañones;Isabela;Oeste fria;S0° 19.649'; W91° 20.261';Fishing;Open;Conservación y uso extractivo (2.3);;;
Luz de día;Floreana;Centro-sur;S1° 13.838'; W90° 28.638';Fishing;Open;Conservación y uso extractivo (2.3);;;
Marchena El Finado;Marchena;Norte;N0° 18.914'; W90° 32.307';Fishing;Open;Conservación y uso extractivo (2.3);;;
Marchena Noreste;Marchena;Norte;N0° 20.973'; W90° 25.368';Fishing;Closed;Conservación y uso extractivo (2.3);;;
Marchena Norte;Marchena;Norte;N0° 23.015'; W90° 28.162';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Marchena Oeste;Marchena;Norte;N0° 21.229'; W90° 32.504';Fishing;Open;Conservación y uso extractivo (2.3);;;
Pared Norte;Darwin;Lejano Norte;N1° 40.920'; W92° 00.281';Fishing;Open;Conservación y uso extractivo (2.3);;;
Pinta Norte;Pinta;Norte;N0° 38.409'; W90° 46.028';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Pinta Oeste;Pinta;Norte;N0° 33.073'; W90° 46.614';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Pinta Sur;Pinta;Norte;N0° 32.439'; W90° 43.656';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Pinzon Norte;Santa Cruz;Centro-sur;S0° 35.327'; W90° 39.803';Fishing;Open;Conservación y uso extractivo (2.3);;;
Plazas;Santa Cruz;Centro-sur;S0° 35.195'; W90° 10.158';Fishing;Open;Conservación y uso extractivo (2.3);;;
Puerto Chino;San Cristobal;Centro-sur;S0° 56.177'; W89° 27.397';Fishing;Open;Conservación y uso extractivo (2.3);;;
Punta Albemarle;Isabela;Centro-sur;N0° 09.993'; W91° 20.582';Fishing;Open;Conservación y uso extractivo (2.3);;;
Punta Calle 1;Marchena;Norte;N0° 16.928;' W90° 29.550';Fishing;Open;Conservación y uso extractivo (2.3);;;
Punta Calle 2;Marchena;Norte;N0° 17.210'; W90° 30.256';Fishing;Open;Conservación y uso extractivo (2.3);;;
Punta Carrion;Santa Cruz;Centro-sur;S0° 28.867'; W90° 15.121';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Punta Cormorant;Floreana;Centro-sur;S1° 12.985'; W90° 25.764';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Punta Espejo;Marchena;Norte;N0° 19.023'; W90° 23.966';Fishing;Open;Conservación y uso extractivo (2.3);;;
Punta Flores;Isabela;Oeste fria;N0° 06.414'; W91° 28.680';Fishing;Open;Conservación y uso extractivo (2.3);;;
Punta Moreno;Isabela;Oeste fria;S0° 42.993'; W91° 20.151';Fishing;Open;Conservación y uso extractivo (2.3);;;
Punta Nuñez;Santa Cruz;Centro-sur;S0° 44.912'; W90° 14.420';Special Use;Closed;Manejo especial (2.4);;;
Punta Pitt;San Cristobal;Centro-sur;S0° 43.215'; W89° 14.655';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Punta Suarez;Española;Centro-sur;S1° 22.069'; W89° 44.556';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Punta Vicente Roca (No DOVS);Isabela;Oeste fria;S0° 03.166'; W91° 33.821';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Roca Ballena;San Cristobal;Centro-sur;S0° 56.797'; W89° 35.424';Fishing;Open;Conservación y uso extractivo (2.3);;;
Roca Sin Nombre;Santa Cruz;Centro sur;S0° 40.207'; W90° 35.146';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Roca Unión;Isabela;Oeste fria;S1° 02.408'; W91° 05.580';Special Use;Closed;Manejo especial (2.4);;;
Rosa Blanca;San Cristobal;Centro-sur;S0° 49.249'; W89° 20.219';Fishing;Open;Conservación y uso extractivo (2.3);;;
Santa Fe Fondeadero;Santa Cruz;Centro-sur;S0° 47.272'; W90° 04.625';Fishing;Open;Conservación y uso extractivo (2.3);;;
Santiago Noreste;Santiago;Centro sur;S0° 12.921'; W90° 36.580';Fishing;Open;Conservación y uso extractivo (2.3);;;
Santiago Norte;Santiago;Centro sur;S0° 08.707'; W90° 47.132';Fishing;Open;Conservación y uso extractivo (2.3);;;
Santiago Poza Azules;Santiago;Centro-sur;S0° 21.348'; W90° 39.509';Fishing;Open;Conservación y uso extractivo (2.3);;;
Santiago Sureste;Santiago;Centro-sur;S0° 22.249'; W90° 35.716';Conservation;Closed;Comparación y protección (2.1);;;
Santiago Suroeste;Santiago;Centro-sur;S0° 19.749'; W90° 49.879';Fishing;Open;Conservación y uso extractivo (2.3);;;
Seymour Norte;Santa Cruz;Centro-sur;S0° 23.120'; W90° 16.863';Turism;Closed;Conservación y uso no extractivo (2.2);;;
Shark Bay;Wolf;Lejano Norte;N1° 22.677'; W91° 48.820';Conservation;Closed;Comparación y protección (2.1);;;
Tagus Norte;Isabela;Oeste fria;S0° 15.932'; W91° 22.369';Conservation;Closed;Comparación y protección (2.1);;;
Wolf Fondeadero;Wolf;Lejano Norte;N1° 22.944'; W91° 49.118';Fishing;Open;Conservación y uso extractivo (2.3);;;
